,100s,200s,300s,400s
Node 1,29.9039,20.5644,8.2220,2.7157
Node 2,29.9590, 21.6392, 8.0873, 2.2822
Node 3,30.0000, 29.0508, 16.7614, 4.5464
Node 4,30.0000, 29.1109, 16.9829, 5.2440
Node 5,30.0000, 29.2201, 13.3333, 2.3058
Node 6,30.0000, 29.2209, 14.9657, 3.5129
Node 7,30.0000, 22.7361, 5.7160, 1.1733
Node 8,30, 27.2743, 10.6684, 1.9815
Node 9,29.9999, 28.1739, 11.8363, 2.2344
Node 10,29.9999, 23.8350, 8.7683, 2.1010
Node 11,29.9994, 24.5602, 9.0151, 1.8285
Node 12,29.9706, 18.5201, 4.9762, 1.3628
Node 13,29.9958, 23.5419, 9.4715, 2.6907
Node 14,29.9615, 22.4437, 8.6759, 2.4951
Node 15,30, 29.9921, 21.7059, 5.1405
Node 16,30, 30, 22.9112, 4.6271
Node 17,30, 30, 17.3694, 2.2591
Node 18,30, 29.8327, 17.8957, 3.9318
Node 19,30, 29.7734, 18.9477, 4.3050
Node 20,30.0000, 29.5822, 18.9904, 5.4262
Node 21,30, 29.4843, 18.1130, 5.0359
Node 22,30.0000, 28.0259, 10.1994, 2.2407
Node 23,29.9039, 24.5407, 8.9043, 2.1032
Node 24,29.9783, 26.3781, 12.8268, 4.4935
Node 25,29.9820, 26.6834,12.9174, 3.6070
Node 26,26.9892, 26.6251, 13.7612, 4.6198
Node 27,30, 24.3877, 8.3995, 1.5862
Node 28,29.9649, 20.4450, 7.1579, 2.0511
Node 29,29.2261, 16.6216, 8.6049, 3.3515
Node 30,30.0000, 28.8438, 9.7618, 1.4283
Node 31,29.9995, 23.0815, 7.4128, 2.1305
Node 32,30, 26.9829, 13.0653, 3.4929
Node 33,30.0000, 28.0938, 15.2881, 5.0936
Node 34, 30.0000, 29.2671, 16.0953, 4.2852
Node 35, 29.9716, 25.2307, 12.4041, 5.3944
Node 36, 29.9886, 25.7860, 13.2146, 5.7121
Node 37, 29.9973, 26.8995, 14.5427, 5.9066
Node 38, 27.1648, 14.9989, 9.1442, 2.4250
Node 39, 28.9065, 14.1404, 8.7973, 2.1207
Node 40, 29.9783, 19.9791, 11.5362, 2.9068
Node 41, 30.0000, 22.0953, 9.6153, 2.5518
Node 42, 30.0000, 23.0968, 7.6958, 1.8862
Node 43, 30.0000, 21.9368, 8.0905, 2.3552
Node 44, 29.9432, 18.2042, 9.4861, 2.1863
Node 45, 29.2380, 19.8175, 10.3024, 2.4767
Node 46, 28.8013, 16.0201, 8.9837, 2.3484
Node 47, 27.7391, 17.4118, 7.9094, 1.7159
Node 48, 30.0000, 29.5800, 12.5960, 3.2774
Node 49, 30.0000, 29.5800, 12.5960, 3.2774
Node 50, 30.0000, 23.6928, 14.6501, 3.8430
Node 51, 30.0000, 23.0011, 13.0260, 4.2704
Node 52, 22.8029, 13.2463, 6.7873, 1.8262
Node 53, 26.2365, 16.5810, 10.1564, 2.6882
Node 54, 27.5150, 18.9359, 12.1594, 3.3291
Node 55, 28.1614, 18.7578, 11.6382, 3.1410
Node 56, 28.9093, 19.5137, 10.7899, 3.0221
Node 57, 29.6039, 17.2126, 10.5054, 3.0763
Node 58, 27.4611, 17.3229, 9.6349, 2.2176
Node 59, 28.4397, 11.2223, 5.3270, 1.4179
Node 60, 26.0321, 16.6856, 9.0357, 2.0078
Node 61, 26.2934, 14.2476, 6.4957, 1.7984
Node 62, 30.0000, 23.8315, 6.9310, 1.7733
Node 63, 30.0000, 23.9205, 11.1867, 4.2525
Node 64, 29.8244, 22.7092, 8.6109, 2.1670
Node 65, 29.9147, 23.9384, 14.5499, 4.8137
