Node,1,2,3,4,
1,0,0.2211,0.3652,0.4726,
2,0,0.2677,0.4121,0.5122,
3,0,0.1244,0.2874,0.3852,
4,0,0.1173,0.2477,0.3293,
5,0,0.1747,0.2876,0.3738,
6,0,0.1304,0.2509,0.345,
7,0,0.134,0.2116,0.3012,
8,0,0.0834,0.2247,0.3198,
9,0,0.1819,0.3727,0.4891,
10,0,0.3632,0.4383,0.5174,
11,0,0.4232,0.5476,0.6507,
12,0,0.2323,0.3629,0.4637,
13,0,0.2677,0.3933,0.4974,
14,0,0.4198,0.5512,0.6507,
15,0,0.1227,0.2845,0.3902,
16,0,0.0542,0.1678,0.2502,
17,0,0.0469,0.1507,0.2268,
18,0,0.3283,0.4408,0.5405,
19,0,0.2535,0.3227,0.4005,
20,0,0.2926,0.419,0.5215,
21,0,0.1839,0.2905,0.3825,
22,0,0.1394,0.2494,0.3369,
23,0,0.6185,0.7389,0.8258,
24,0.6148,0.7569,0.831,0.8888,
25,0,0.4316,0.598,0.7302,
26,0,0.4514,0.6027,0.7288,
27,0,0.4788,0.5834,0.6857,
28,0,0.2726,0.4624,0.574,
29,0.1935,0.5089,0.6092,0.705,
30,0,0.1939,0.3678,0.4745,
31,0,0.4089,0.5027,0.6016,
32,0,0.151,0.3047,0.4056,
33,0,0.1328,0.2846,0.3831,
34,0,0.1129,0.2405,0.3202,
35,0.477,0.7231,0.8083,0.8744,
36,1,1,1,1,
37,0.4187,0.6867,0.7797,0.8531,
38,0,0.4938,0.6152,0.70368,
39,0,0.5702,0.642,0.7153,
40,0,0.3445,0.4866,0.583,
41,0,0.3213,0.4156,0.4966,
42,0,0.3776,0.4641,0.5491,
43,0,0.3025,0.4348,0.5388,
44,0,0.2446,0.4068,0.5177,
45,0,0.4917,0.616,0.7084,
46,0,0.518,0.6182,0.7016,
47,0.248,0.7297,0.7812,0.8357,
48,0,0.3485,0.4808,0.5827,
49,0,0.1632,0.3093,0.4112,
50,0,0.5595,0.6393,0.7191,
51,0,0.3466,0.4583,0.5537,
52,0.6978,0.8707,0.9247,0.9592,
53,1,1,1,1,
54,1,1,1,1,
55,1,1,1,1,
56,0.8197,0.9188,0.9536,0.9754,
57,0.4822,0.7461,0.8315,0.8967,
58,0,0.7072,0.7753,0.8362,
59,0,0.7391,0.7833,0.8385,
60,0.5563,0.8266,0.868,0.9134,
61,0.5843,0.7911,0.8671,0.9207,
62,0,0.5583,0.639,0.723,
63,0,0.5292,0.631,0.7185,
64,0.448,0.7075,0.7981,0.8706,
65,0.3867,0.7098,0.7688,0.8383,
