Node,1,2,3,4,,,
1,0.001,0.0137,0.1019,0.2758,,,
2,0.0006,0.0057,0.0518,0.1767,,,
3,0,0.0024,0.025,0.1071,,,
4,0,0.0007,0.0093,0.0508,,,
5,0,0.0003,0.0031,0.0212,,,
6,0,0.0001,0.0008,0.0068,,,
7,0,0.0046,0.038,0.1345,,,
8,0,0.0052,0.0399,0.1398,,,
9,0.0003,0.0187,0.0993,0.2646,,,
10,0,0.0115,0.074,0.2171,,,
11,0,0.0417,0.1827,0.4069,,,
12,0.0007,0.0108,0.0721,0.2064,,,
13,0,0.0099,0.0664,0.1924,,,
14,0.0034,0.0422,0.1808,0.3864,,,
15,0,0.0001,0.0005,0.0044,,,
16,0,0,0.0002,0.0019,,,
17,0,0,0.0002,0.0016,,,
18,0,0,0,0,,,
19,0,0,0.0004,0.0038,,,
20,0,0.0001,0.0018,0.0132,,,
21,0,0,0.0006,0.0054,,,
22,0,0,0.0005,0.0048,,,
23,0.2108,0.4935,0.7265,0.8653,,,
24,0.004,0.0266,0.1177,0.2843,,,
25,0.0011,0.0091,0.0585,0.1784,,,
26,0.0004,0.0029,0.026,0.1005,,,
27,0,0.0009,0.0107,0.0522,,,
28,0.0048,0.0504,0.2067,0.427,,,
29,0.0155,0.1526,0.4054,0.6411,,,
30,0,0.0001,0.0014,0.0099,,,
31,0,0.0003,0.0041,0.0249,,,
32,0,0.002,0.0238,0.1029,,,
33,0,0.0022,0.0237,0.1024,,,
34,0,0.0008,0.0093,0.0507,,,
35,0.0033,0.026,0.116,0.281,,,
36,0.0041,0.0259,0.1146,0.2779,,,
37,0.0011,0.0089,0.0568,0.1739,,,
38,0.004,0.0691,0.2759,0.5359,,,
39,0.002,0.0259,0.1567,0.3893,,,
40,0.0009,0.0078,0.0694,0.2269,,,
41,0,0.0025,0.0279,0.1185,,,
42,0,0.0008,0.0102,0.0553,,,
43,0,0.0002,0.0028,0.0192,,,
44,0.0013,0.0185,0.1132,0.2986,,,
45,0.004,0.0632,0.2553,0.5055,,,
46,0.0023,0.046,0.1983,0.4171,,,
47,0.0116,0.1641,0.4356,0.6772,,,
48,0,0.0001,0.0019,0.0135,,,
49,0,0.0001,0.0006,0.0055,,,
50,0,0.0003,0.0054,0.0318,,,
51,0,0.0001,0.0018,0.0135,,,
52,1,1,1,1,,,
53,0.0737,0.2774,0.5058,0.723,,,
54,0.0127,0.099,0.286,0.5199,,,
55,0.0033,0.034,0.1485,0.3446,,,
56,0.0011,0.011,0.0702,0.2083,,,
57,0.0005,0.0036,0.0322,0.1209,,,
58,0.0165,0.1958,0.4974,0.7418,,,
59,0.0058,0.0697,0.2823,0.5491,,,
60,0.0956,0.4974,0.7806,0.9161,,,
61,0.0115,0.185,0.4799,0.7249,,,
62,0,0.0006,0.007,0.038,,,
63,0,0.0004,0.005,0.0296,,,
64,0.0003,0.0027,0.0244,0.0949,,,
65,0.0002,0.0012,0.0146,0.068,,,
