Node,1,2,3,4
1,0,0.0011,0.0096,0.048
2,0,0.0013,0.009,0.0433
3,0,0.0007,0.0036,0.0206
4,0,0.0003,0.0015,0.0099
5,0,0.0005,0.0036,0.0208
6,0,0.0004,0.0037,0.0229
7,0,0.0003,0.0032,0.0198
8,0,0.0006,0.0038,0.0217
9,0,0.0016,0.0108,0.0525
10,0,0.001,0.0075,0.0381
11,0,0.0033,0.0204,0.0855
12,0,0.0009,0.0081,0.0414
13,0,0.001,0.009,0.0457
14,0,0.0033,0.025,0.1006
15,0,0.0007,0.0049,0.0278
16,0,0.0002,0.0016,0.0111
17,0,0.0002,0.0014,0.0097
18,0,0.0011,0.009,0.0468
19,0,0.0004,0.0033,0.0203
20,0,0.001,0.0103,0.0529
21,0,0.0003,0.0036,0.0231
22,0,0.0003,0.003,0.0197
23,0,0.0282,0.1352,0.3327
24,0.0316,0.1766,0.4301,0.6602
25,0,0.0623,0.2346,0.4643
26,0,0.0217,0.1206,0.3067
27,0,0.0073,0.0542,0.1768
28,0,0.0036,0.0233,0.0935
29,0.0019,0.008,0.0559,0.1795
30,0,0.0013,0.001,0.0503
31,0,0.0024,0.0238,0.0981
32,0,0.0007,0.0039,0.0221
33,0,0.0006,0.0036,0.0205
34,0,0.0003,0.0015,0.0095
35,0.0414,0.1842,0.4363,0.665
36,1,1,1,1
37,0.0085,0.0639,0.2375,0.4684
38,0,0.0036,0.0003,0.1191
39,0,0.0041,0.0278,0.1066
40,0,0.0016,0.011,0.0521
41,0,0.0008,0.0049,0.0271
42,0,0.0015,0.0115,0.0535
43,0,0.0012,0.0115,0.0581
44,0,0.0014,0.0111,0.0548
45,0,0.0037,0.0304,0.1201
46,0,0.0032,0.0268,0.1076
47,0.0025,0.0101,0.0695,0.217
48,0,0.0014,0.0131,0.0653
49,0,0.0005,0.0047,0.0287
50,0,0.0031,0.0308,0.1236
51,0,0.0009,0.0109,0.0557
52,0.0114,0.084,0.2967,0.5553
53,0.0335,0.2267,0.5317,0.7681
54,0.1425,0.54,0.8097,0.9318
55,0.0275,0.2271,0.5372,0.7742
56,0.0084,0.0834,0.3034,0.5666
57,0.0033,0.0285,0.1514,0.3688
58,0,0.0105,0.0732,0.2268
59,0,0.0161,0.0886,0.2421
60,0.0058,0.0321,0.1636,0.3897
61,0.0107,0.0759,0.2714,0.5192
62,0,0.0059,0.0421,0.1438
63,0,0.0036,0.0323,0.1283
64,0.0029,0.0261,0.1401,0.3465
65,0.0018,0.0106,0.0788,0.2429
