Node,1,2,3,4
1,0,0,0.158,0.423
2,0,0.948,2.044,3.034
3,10.286,15.447,18.677,20.948
4,0,1.445,3.039,4.347
5,0,0,0.337,0.862
6,0,0,0,0.069
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0.039
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,11.507,13.866,13.377,11.835
33,8.398,10.682,10.691,9.98
34,0,1.529,3.068,4.417
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,1.042,1.945,2.479
39,8.512,9.899,9.166,7.814
40,50.724,31.107,22.216,17.85
41,10.573,11.162,9.512,7.703
42,0,1.856,2.829,3.018
43,0,0,0.3,0.605
44,0,0,0,0
45,0,0,0,0.053
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0.057
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0.374,0.927
59,0,1.017,1.761,2.204
60,0,0,0,0.065
61,0,0,0.207,0.471
62,0,0,0.299,0.616
63,0,0,0,0.137
64,0,0,0,0.047
65,0,0,0,0
