,100s,200s,300s,400s
Node 1,0.000141248,0.003547684,0.011931346,0.027289389
Node 2,8.65665E-05,0.002906559,0.011194078,0.027822797
Node 3,0,0.000472819,0.005094796,0.016987718
Node 4,0,0.000461575,0.005260414,0.017459121
Node 5,0,0.000631102,0.007097243,0.021386243
Node 6,0,0.000634389,0.006286699,0.020036957
Node 7,0,0.001801867,0.008212682,0.020523223
Node 8,0,0.000847688,0.005447902,0.015590151
Node 9,3.81374E-06,0.00066508,0.005124851,0.014612136
Node 10,1.02095E-05,0.002288529,0.010458883,0.025747576
Node 11,1.57502E-05,0.002008947,0.009487745,0.023717608
Node 12,6.00739E-05,0.003352069,0.011399483,0.027060573
Node 13,1.33866E-05,0.001587919,0.007184754,0.01836908
Node 14,5.4508E-05,0.001993586,0.007847155,0.019192419
Node 15,0,1.69114E-05,0.002464415,0.01041605
Node 16,0,0,0.002201262,0.010204893
Node 17,0,0,0.004025865,0.013238044
Node 18,0,0.000201848,0.004536374,0.014771182
Node 19,0,0.000177211,0.004284122,0.014458516
Node 20,0,0.000231675,0.002780687,0.010170245
Node 21,0,0.000242199,0.003062148,0.010960528
Node 22,0,0.000810098,0.005275447,0.015196636
Node 23,0.000176571,0.002275373,0.009949966,0.024990902
Node 24,4.21883E-05,0.001413312,0.006358433,0.01675931
Node 25,3.62992E-05,0.001350842,0.006892173,0.019091744
Node 26,2.74798E-05,0.001155503,0.006080959,0.016754329
Node 27,0,0.002174139,0.010286506,0.026181862
Node 28,4.65473E-05,0.00177057,0.005994648,0.013067273
Node 29,0.000316536,0.001781336,0.005828332,0.012203687
Node 30,0,0.000524379,0.004768704,0.013001116
Node 31,2.46318E-06,0.00140493,0.005250029,0.012526147
Node 32,0,0.001276718,0.006870849,0.020095769
Node 33,0,0.000762141,0.005330927,0.01637839
Node 34,0,0.000499156,0.005522248,0.017942456
Node 35,5.58227E-05,0.001568121,0.007050316,0.017224514
Node 36,4.05872E-05,0.001342019,0.006031103,0.015233535
Node 37,2.18198E-05,0.000901922,0.005299112,0.015605532
Node 38,0.001429801,0.006847959,0.014034234,0.027384653
Node 39,0.000905715,0.005514959,0.012882909,0.026061179
Node 40,6.85449E-05,0.003307334,0.009222668,0.020402883
Node 41,0,0.002910057,0.00863787,0.020237744
Node 42,0,0.003227144,0.010272404,0.023663548
Node 43,0,0.003237642,0.009862237,0.022449354
Node 44,0.000130276,0.00358601,0.010707972,0.024003394
Node 45,0.000462257,0.00326374,0.00901632,0.02050377
Node 46,0.00076634,0.005818699,0.014224566,0.030668088
Node 47,0.000966789,0.005517361,0.012809655,0.026453338
Node 48,0,0.001255833,0.006107968,0.015703563
Node 49,0,0.000489469,0.006440226,0.017300623
Node 50,0,0.001917239,0.006198931,0.015632332
Node 51,0,0.002082303,0.007865177,0.018732143
Node 52,0.003892725,0.010463162,0.01854419,0.029828137
Node 53,0.001538367,0.005755151,0.012116864,0.023307901
Node 54,0.001058757,0.004154435,0.010616084,0.020248115
Node 55,0.000856117,0.004196271,0.010755835,0.021413513
Node 56,0.000698373,0.004302129,0.010460147,0.021997273
Node 57,0.000466521,0.004688392,0.01102677,0.022122568
Node 58,0.001433551,0.006000635,0.014007489,0.026453883
Node 59,0.000804123,0.00491856,0.011968751,0.022575714
Node 60,0.00190919,0.006713432,0.013780436,0.026967955
Node 61,0.001132727,0.00452568,0.010825716,0.02015951
Node 62,0,0.002157178,0.007915536,0.018791406
Node 63,0,0.002911594,0.009300891,0.021504057
Node 64,8.64679E-05,0.002033795,0.007387115,0.016863278
Node 65,0.000142116,0.002954972,0.008669513,0.019016821
