,100s,200s,300s,400s
Node 1,0.0047 ,0.1189 ,0.4000 ,0.9149 
Node 2,0.0029 ,0.0974 ,0.3753 ,0.9328 
Node 3,0.0000 ,0.0159 ,0.1708 ,0.5695 
Node 4,0.0000 ,0.0155 ,0.1764 ,0.5853 
Node 5,0.0000 ,0.0212 ,0.2379 ,0.7170 
Node 6,0.0000 ,0.0213 ,0.2108 ,0.6717 
Node 7,0.0000 ,0.0604 ,0.2753 ,0.6880 
Node 8,0.0000 ,0.0284 ,0.1826 ,0.5227 
Node 9,0.0001 ,0.0223 ,0.1718 ,0.4899 
Node 10,0.0003 ,0.0767 ,0.3506 ,0.8632 
Node 11,0.0005 ,0.0674 ,0.3181 ,0.7951 
Node 12,0.0020 ,0.1124 ,0.3822 ,0.9072 
Node 13,0.0004 ,0.0532 ,0.2409 ,0.6158 
Node 14,0.0018 ,0.0668 ,0.2631 ,0.6434 
Node 15,0.0000 ,0.0006 ,0.0826 ,0.3492 
Node 16,0.0000 ,0.0000 ,0.0738 ,0.3421 
Node 17,0.0000 ,0.0000 ,0.1350 ,0.4438 
Node 18,0.0000 ,0.0068 ,0.1521 ,0.4952 
Node 19,0.0000 ,0.0059 ,0.1436 ,0.4847 
Node 20,0.0000 ,0.0078 ,0.0932 ,0.3410 
Node 21,0.0000 ,0.0081 ,0.1027 ,0.3675 
Node 22,0.0000 ,0.0272 ,0.1769 ,0.5095 
Node 23,0.0059 ,0.0763 ,0.3336 ,0.8378 
Node 24,0.0014 ,0.0474 ,0.2132 ,0.5619 
Node 25,0.0012 ,0.0453 ,0.2311 ,0.6401 
Node 26,0.0009 ,0.0387 ,0.2039 ,0.5617 
Node 27,0.0000 ,0.0729 ,0.3449 ,0.8778 
Node 28,0.0016 ,0.0594 ,0.2010 ,0.4381 
Node 29,0.0106 ,0.0597 ,0.1954 ,0.4091 
Node 30,0.0000 ,0.0176 ,0.1599 ,0.4359 
Node 31,0.0001 ,0.0471 ,0.1760 ,0.4199 
Node 32,0.0000 ,0.0428 ,0.2303 ,0.6737 
Node 33,0.0000 ,0.0256 ,0.1787 ,0.5491 
Node 34,0.0000 ,0.0167 ,0.1851 ,0.6015 
Node 35,0.0019 ,0.0526 ,0.2364 ,0.5775 
Node 36,0.0014 ,0.0450 ,0.2022 ,0.5107 
Node 37,0.0007 ,0.0302 ,0.1777 ,0.5232 
Node 38,0.0479 ,0.2296 ,0.4705 ,0.9181 
Node 39,0.0304 ,0.1849 ,0.4319 ,0.8737 
Node 40,0.0023 ,0.1109 ,0.3092 ,0.6840 
Node 41,0.0000 ,0.0976 ,0.2896 ,0.6785 
Node 42,0.0000 ,0.1082 ,0.3444 ,0.7933 
Node 43,0.0000 ,0.1085 ,0.3306 ,0.7526 
Node 44,0.0044 ,0.1202 ,0.3590 ,0.8047 
Node 45,0.0155 ,0.1094 ,0.3023 ,0.6874 
Node 46,0.0257 ,0.1951 ,0.4769 ,1.0282 
Node 47,0.0324 ,0.1850 ,0.4294 ,0.8869 
Node 48,0.0000 ,0.0421 ,0.2048 ,0.5265 
Node 49,0.0000 ,0.0164 ,0.2159 ,0.5800 
Node 50,0.0000 ,0.0643 ,0.2078 ,0.5241 
Node 51,0.0000 ,0.0698 ,0.2637 ,0.6280 
Node 52,0.1305 ,0.3508 ,0.6217 ,1.0000 
Node 53,0.0516 ,0.1929 ,0.4062 ,0.7814 
Node 54,0.0355 ,0.1393 ,0.3559 ,0.6788 
Node 55,0.0287 ,0.1407 ,0.3606 ,0.7179 
Node 56,0.0234 ,0.1442 ,0.3507 ,0.7375 
Node 57,0.0156 ,0.1572 ,0.3697 ,0.7417 
Node 58,0.0481 ,0.2012 ,0.4696 ,0.8869 
Node 59,0.0270 ,0.1649 ,0.4013 ,0.7569 
Node 60,0.0640 ,0.2251 ,0.4620 ,0.9041 
Node 61,0.0380 ,0.1517 ,0.3629 ,0.6759 
Node 62,0.0000 ,0.0723 ,0.2654 ,0.6300 
Node 63,0.0000 ,0.0976 ,0.3118 ,0.7209 
Node 64,0.0029 ,0.0682 ,0.2477 ,0.5653 
Node 65,0.0048 ,0.0991 ,0.2906 ,0.6375 
