,100s,200s,300s,400s
Node 1,0,0.000115507,0.003130433,0.013085348
Node 2,0,0.000105837,0.002889772,0.012830266
Node 3,0,1.60E-07,0.000877422,0.007171242
Node 4,0,8.54E-07,0.000983236,0.007325733
Node 5,0,4.37009E-05,0.002080034,0.010011433
Node 6,0,4.25987E-05,0.002002938,0.009983005
Node 7,0,4.34E-08,0.00119415,0.007244352
Node 8,0,7.10E-08,0.000518858,0.004768567
Node 9,0,1.00E-06,0.000334205,0.003582615
Node 10,0,5.93E-05,0.002321127,0.011109932
Node 11,0,3.87613E-05,0.00182875,0.009305783
Node 12,0,0.000251159,0.003886515,0.012784753
Node 13,0,8.14307E-05,0.002200735,0.008602609
Node 14,0,8.90043E-05,0.001965257,0.008004399
Node 15,0,1.34E-07,0.000174095,0.002749579
Node 16,0,0,0.000324033,0.003778923
Node 17,0,0,0.000740244,0.005691433
Node 18,0,2.69914E-05,0.001452459,0.007870308
Node 19,0,3.84588E-05,0.001473312,0.008151143
Node 20,0,5.42257E-05,0.001394029,0.006126859
Node 21,0,5.22068E-05,0.001712554,0.007160383
Node 22,0,0.000171716,0.003181254,0.010327764
Node 23,0,0.000114185,0.001864859,0.009761164
Node 24,3.78391E-05,0.002335479,0.011218358,0.027419857
Node 25,9.88E-07,0.000312306,0.003489199,0.012255879
Node 26,5.45E-07,0.000349976,0.003248445,0.011143265
Node 27,0,0.000519265,0.00385408,0.013117109
Node 28,0,3.27462E-05,0.001538347,0.006407372
Node 29,1.71E-07,0.000582113,0.004004574,0.011008372
Node 30,0,1.12648E-05,0.001197292,0.005794196
Node 31,1.05E-08,0.000387086,0.003126619,0.008469471
Node 32,0,6.84E-06,0.001092526,0.008128962
Node 33,0,2.40E-06,0.000926463,0.006824415
Node 34,0,1.64E-06,0.00160851,0.010031379
Node 35,4.59E-06,0.00081437,0.005425032,0.014539287
Node 36,0.003874559,0.02977435,0.062688552,0.097350049
Node 37,3.70E-06,0.000691304,0.004813254,0.013238668
Node 38,0,0.000852075,0.006220223,0.016266071
Node 39,0,0.000649587,0.005423389,0.015182925
Node 40,0,0.000188596,0.003543785,0.011600603
Node 41,0,0.000126961,0.003734109,0.012013336
Node 42,0,0.000373553,0.004464808,0.01279228
Node 43,0,0.000526622,0.004651816,0.01257225
Node 44,0,8.28413E-05,0.003448855,0.011851298
Node 45,0,0.000257392,0.003032112,0.010166784
Node 46,0,0.001173265,0.007481234,0.018949405
Node 47,3.09E-08,0.001166764,0.006368342,0.015833699
Node 48,0,0.000152829,0.00227945,0.008267061
Node 49,0,2.89243E-05,0.002435794,0.009391305
Node 50,0,0.000892752,0.0050408,0.012686826
Node 51,0,0.000871878,0.005992988,0.015235701
Node 52,5.96805E-05,0.003644081,0.012620853,0.025584029
Node 53,0.000159413,0.00354745,0.011225488,0.022361097
Node 54,0.000448494,0.005376895,0.013945044,0.025349439
Node 55,0.000222829,0.003667149,0.010164174,0.019646043
Node 56,8.0378E-05,0.002794485,0.00916015,0.01886077
Node 57,2.05489E-05,0.002799124,0.009850292,0.019937616
Node 58,0,0.000934829,0.005959353,0.01552443
Node 59,1.89E-08,0.000820634,0.005516093,0.014057377
Node 60,1.62505E-05,0.002110767,0.008495651,0.018871842
Node 61,1.60963E-05,0.001218261,0.005807434,0.013735899
Node 62,0,0.000495818,0.004271838,0.011493375
Node 63,0,0.000627665,0.004687817,0.01277485
Node 64,6.02E-06,0.000860108,0.004551345,0.01139651
Node 65,3.15E-06,0.001593402,0.00674447,0.01510187
